Name,Ticket_ID,Departure Date,Cancellation_Date,Passport_Id
Mélodie,61fd46001ea,15-12-2021,09-12-2021,71-1647560
Mylène,61fd40001eb,12-04-2021,10-04-2021,81-7489837
Renée,61fd40001ew,13-09-2021,11-04-2021,18-4330703
Gaïa,61fd40001fd,20-12-2021,12-12-2021,09-7712073
Bérangère,61fd40001qw,17-12-2021,13-12-2021,36-3654248
Eléa,61fd40001fg,16-09-2021,14-04-2021,81-1582341
Nuó,61fd40001mn,17-09-2021,15-04-2021,34-0985124
Danièle,61fd40001er,18-04-2021,16-04-2021,58-9896557
Lucrèce,61fd40001ad,19-09-2021,17-04-2021,01-9290944
Adélie,61fd40001jl,21-09-2021,20-09-2021,94-3674811
